"Time (s)","Sound pressure level (dB)"
8.417712488E1,-6.381112634E1
8.428475712E1,-6.598410566E1
8.439353500E1,-6.590170694E1
8.450228433E1,-6.708790340E1
8.461102229E1,-6.686302872E1
8.471971137E1,-6.726624571E1
8.482819029E1,-6.911034773E1
8.493640529E1,-6.879580955E1
8.504514488E1,-6.921233204E1
8.515288867E1,-7.088935066E1
8.526160175E1,-7.024932719E1
8.536958171E1,-7.133832923E1
8.547526283E1,-7.208563528E1
8.558384917E1,-7.189702006E1
8.569259500E1,-7.252280758E1
8.579746550E1,-7.117987165E1
8.590302042E1,-7.322522101E1
8.601170229E1,-7.385494029E1
8.611975642E1,-7.452378568E1
8.622604775E1,-7.457579624E1
8.633462579E1,-7.419238591E1
8.643915025E1,NaN
8.654619004E1,-7.439755033E1
8.665292458E1,-7.252372163E1
8.675812108E1,-7.415826451E1
8.686589337E1,-7.279062370E1
8.697257800E1,-7.505833656E1
8.708134717E1,-7.492207308E1
8.718620404E1,-7.409565424E1
8.729449371E1,-7.596819810E1
8.740291775E1,-7.377532538E1
8.751173746E1,-7.552753688E1
8.761947158E1,-7.662523688E1
8.772836029E1,-7.408405784E1
8.783620487E1,-7.474905865E1
8.794482804E1,-7.286218173E1
8.805265275E1,-7.279684267E1
8.816127425E1,-7.190584936E1
